Date,Title,Text,Processed Title,Processed Text,Sentiment Title,Sentiment Text,Positive Title,Positive Text
2022-08-31,Top 5 Things to Watch in Markets in the Week Ahead,"By Eric Cox
JACKSON, Miss. (Reuters) - U.S. President Joe Biden's administration approved an emergency declaration over a water crisis in the State of Mississippi and ordered...",top 5 things to watch in markets in the week ahead,"by eric cox jackson miss reuters  us president joe bidens administration approved an emergency declaration over a water crisis in the state of mississippi and ordered","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.259, 'neu': 0.654, 'pos': 0.087, 'compound': -0.6705}",True,False
2022-08-31,Dow Futures Move Higher As Investors Brace for Earnings,"By Sarah N. Lynch and Nate Raymond
WASHINGTON (Reuters) -Political appointees at the U.S. Justice Department will be barred from attending campaign events or fundraisers, according...",dow futures move higher as investors brace for earnings,"by sarah n lynch and nate raymond washington reuters political appointees at the us justice department will be barred from attending campaign events or fundraisers according","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.5267}",False,True
2022-08-30,Oil Rises as OPEC+ Members Voice Support For Supply Cut,"By Peter Eisler and Nathan Layne
(Reuters) - A sheriff in Barry County, Michigan, already under state investigation for alleged involvement in an illegal breach of a vote-counting...",oil rises as opec members voice support for supply cut,"by peter eisler and nathan layne reuters  a sheriff in barry county michigan already under state investigation for alleged involvement in an illegal breach of a votecounting","{'neg': 0.164, 'neu': 0.625, 'pos': 0.211, 'compound': 0.1531}","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.5574}",True,False
2022-08-23,Top 5 Things to Watch in Markets in the Week Ahead,"By Tyler Clifford
(Reuters) -A jury on Monday ended the first day of deliberations in the retrial of two men charged with conspiring to kidnap Michigan Governor Gretchen Whitmer in...",top 5 things to watch in markets in the week ahead,"by tyler clifford reuters a jury on monday ended the first day of deliberations in the retrial of two men charged with conspiring to kidnap michigan governor gretchen whitmer in","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.2023}",True,False
2022-08-11,Top 5 Things to Watch in Markets in the Week Ahead,"By Eric Beech and Sarah N. Lynch
WASHINGTON (Reuters) -Republican Congressman Scott Perry of Pennsylvania said on Tuesday that FBI agents had seized his cell phone, in yet another...",top 5 things to watch in markets in the week ahead,"by eric beech and sarah n lynch washington reuters republican congressman scott perry of pennsylvania said on tuesday that fbi agents had seized his cell phone in yet another","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
2022-08-09,Top 5 Things to Watch in Markets in the Week Ahead,"By Jason Lange
WASHINGTON (Reuters) - U.S. President Joe Biden's public approval rose this week to its highest level since early June following a string of legislative victories,...",top 5 things to watch in markets in the week ahead,"by jason lange washington reuters  us president joe bidens public approval rose this week to its highest level since early june following a string of legislative victories","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.4767}",True,True
2022-08-09,Dow Futures Move Higher As Investors Brace for Earnings,"By Sarah N. Lynch and Steve Holland
WASHINGTON (Reuters) - The U.S. Justice Department's silence about its search of former President Donald Trump's Florida home is a sign of an...",dow futures move higher as investors brace for earnings,"by sarah n lynch and steve holland washington reuters  the us justice departments silence about its search of former president donald trumps florida home is a sign of an","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.5267}",False,True
2022-08-09,Oil Rises as OPEC+ Members Voice Support For Supply Cut,"By James Oliphant
WASHINGTON (Reuters) - Hours after denouncing the FBI's raid on his Florida home as political persecution, former President Donald Trump released a campaign-style...",oil rises as opec members voice support for supply cut,"by james oliphant washington reuters  hours after denouncing the fbis raid on his florida home as political persecution former president donald trump released a campaignstyle","{'neg': 0.164, 'neu': 0.625, 'pos': 0.211, 'compound': 0.1531}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",True,False
2022-07-22,Top 5 Things to Watch in Markets in the Week Ahead,"By Geoffrey Smith 
Investing.com -- Rishi Sunak and Liz Truss will run off against each other in the final stage of the contest to become leader of the U.K. Conservative Party -...",top 5 things to watch in markets in the week ahead,"by geoffrey smith  investingcom  rishi sunak and liz truss will run off against each other in the final stage of the contest to become leader of the uk conservative party ","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4019}",True,True
2022-07-22,Dow Futures Move Higher As Investors Brace for Earnings,"By Geoffrey Smith 
Investing.com -- Russia's Foreign Minister gave the clearest signal yet that the Kremlin intends to annex southern Ukraine, rather than just concentrate on the...",dow futures move higher as investors brace for earnings,"by geoffrey smith  investingcom  russias foreign minister gave the clearest signal yet that the kremlin intends to annex southern ukraine rather than just concentrate on the","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",False,False
